"목록 버전","목록 성격","탐색 조건","ID","분류","검토 항목","관련 업종 예시","작업 조건","인원별 우선 검토 구간","적용 확인 조건","확인 질문","증빙 예시","조사 위치","공식 원문","확인한 출처 경로","출처 확인 범위","출처 확인일","검토 상태","검토자","검토일","검토 의견"
"2026-09-15.1","검토 후보 목록입니다. 법적 의무 전체 목록이나 사업장별 적용 판정이 아닙니다. 인원 선택만으로 항목을 제외하지 않습니다.","전체 목록","REVIEW-011","선임·조직","보건관리자·산업보건의","전 업종 공통 검토 후보","","50~99명 · 100~299명 · 300~499명 · 500명 이상","각 역할의 업종·인원·자격·예외·위탁 조건을 구분.","보건관리자와 산업보건의의 대상 조건을 각각 확인했는가?
건강자료 접근 범위와 실제 보건 업무를 확인했는가?","선임·위탁 자료
개인정보를 제외한 보건활동 기록","법 제18조·제22조 및 시행령 관련 조항 조사","https://www.law.go.kr/법령/산업안전보건법
https://www.law.go.kr/법령/산업안전보건법시행령","https://law.go.kr/LSW/lsInfoP.do?ancYnChk=0&lsId=001766
https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=288347&efYd=20260801","산업안전보건법: 발췌 확인 · 교육·위험성평가·안전보건조치·고객응대 관련 검색 발췌 확인. 조문 전체·부칙·적용 예외 대조는 미완료.
산업안전보건법 시행령: 서지 확인 · 2026-08-01 시행본 서지 확인. 선임·교육 적용 제외·별표 전체는 본문 대조 대기.","산업안전보건법: 2026-09-15
산업안전보건법 시행령: 2026-09-15","적용 여부·전문 검토 대기","","",""
"2026-09-15.1","검토 후보 목록입니다. 법적 의무 전체 목록이나 사업장별 적용 판정이 아닙니다. 인원 선택만으로 항목을 제외하지 않습니다.","전체 목록","REVIEW-012","선임·조직","안전보건관리담당자","제조·가공 · 농업·임업·어업 · 수도·하수·폐기물·재생","","20~49명","20~50명 미만 구간과 제조업·임업·열거 환경업의 실제 해당 여부를 현행 원문으로 대조.","열거 업종과 사업장 단위 인원을 확인했는가?
자격·교육·선임과 실제 업무 증빙이 있는가?","선임·교육 자료
업무 수행 기록","시행령 제24~26조·현행본 대조 대기","https://www.law.go.kr/법령/산업안전보건법시행령/제24조
https://www.law.go.kr/법령/산업안전보건법시행령","https://www.law.go.kr/lsLinkCommonInfo.do?lspttninfSeq=75384&chrClsCd=010202
https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=288347&efYd=20260801","안전보건관리담당자 선임·업무 조사: 발췌 확인 · 2026-03-24 시행본 제24조의 20~50명 미만 및 열거 업종 발췌 확인. 2026-08-01 시행본과 최종 대조 대기.
산업안전보건법 시행령: 서지 확인 · 2026-08-01 시행본 서지 확인. 선임·교육 적용 제외·별표 전체는 본문 대조 대기.","안전보건관리담당자 선임·업무 조사: 2026-09-15
산업안전보건법 시행령: 2026-09-15","적용 여부·전문 검토 대기","","",""
"2026-09-15.1","검토 후보 목록입니다. 법적 의무 전체 목록이나 사업장별 적용 판정이 아닙니다. 인원 선택만으로 항목을 제외하지 않습니다.","전체 목록","REVIEW-013","선임·조직","산업안전보건위원회","전 업종 공통 검토 후보","","50~99명 · 100~299명 · 300~499명 · 500명 이상","업종·규모·공사별 대상 및 노사 구성 조건 확인.","사업장별 설치 대상과 노사 위원을 확인했는가?
안건·회의·의결·이행 결과가 연결되어 있는가?","위원 구성 자료
회의록·이행 기록","법 제24조·시행령 위원회 대상 별표 조사","https://www.law.go.kr/법령/산업안전보건법
https://www.law.go.kr/법령/산업안전보건법시행령","https://law.go.kr/LSW/lsInfoP.do?ancYnChk=0&lsId=001766
https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=288347&efYd=20260801","산업안전보건법: 발췌 확인 · 교육·위험성평가·안전보건조치·고객응대 관련 검색 발췌 확인. 조문 전체·부칙·적용 예외 대조는 미완료.
산업안전보건법 시행령: 서지 확인 · 2026-08-01 시행본 서지 확인. 선임·교육 적용 제외·별표 전체는 본문 대조 대기.","산업안전보건법: 2026-09-15
산업안전보건법 시행령: 2026-09-15","적용 여부·전문 검토 대기","","",""
"2026-09-15.1","검토 후보 목록입니다. 법적 의무 전체 목록이나 사업장별 적용 판정이 아닙니다. 인원 선택만으로 항목을 제외하지 않습니다.","전체 목록","REVIEW-014","선임·조직","안전보건 전담조직·권한·인력","전 업종 공통 검토 후보","도급·혼재작업","500명 이상","중대재해처벌법 시행령의 사업 단위·기존 선임 인력·규모·건설회사 조건 확인.","전담조직 설치 요건을 개별 안전관리자 전담 요건과 구분했는가?
조직의 실제 인력·권한·업무·예산이 확인되는가?","조직도·업무분장
권한·예산 근거","중대재해처벌법 시행령의 전담조직 요건 조사 대기","https://www.law.go.kr/법령/중대재해처벌등에관한법률","https://moel.go.kr/news/enews/explain/enewsView.do?news_seq=16128","중대재해 처벌 등에 관한 법률: 발췌 확인 · 고용노동부의 5~50명 미만 확대 적용 설명 확인. 법령별 산정·책임·중대시민재해와 시행령 대조 대기.","중대재해 처벌 등에 관한 법률: 2026-09-15","적용 여부·전문 검토 대기","","",""
"2026-09-15.1","검토 후보 목록입니다. 법적 의무 전체 목록이나 사업장별 적용 판정이 아닙니다. 인원 선택만으로 항목을 제외하지 않습니다.","전체 목록","REVIEW-015","교육·훈련","근로자 정기 안전보건교육","전 업종 공통 검토 후보","","1~4명 · 5~9명","업종·적용 제외·사무직/판매직/그 외 직무·교육 특례 확인.","교육 대상자와 직무별 과정·시간·주기를 현행 별표에서 확인했는가?
실제 실시·참석·내용·강사 요건을 증빙하는가?","대상·교육계획
실시·참석·교재 기록","법 제29조·시행규칙 별표 4·5와 제외·특례 조사. 시간 미확정.","https://www.law.go.kr/법령/산업안전보건법
https://www.law.go.kr/법령/산업안전보건법시행령
https://www.law.go.kr/법령/산업안전보건법시행규칙","https://law.go.kr/LSW/lsInfoP.do?ancYnChk=0&lsId=001766
https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=288347&efYd=20260801
https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=288431&efYd=20260801","산업안전보건법: 발췌 확인 · 교육·위험성평가·안전보건조치·고객응대 관련 검색 발췌 확인. 조문 전체·부칙·적용 예외 대조는 미완료.
산업안전보건법 시행령: 서지 확인 · 2026-08-01 시행본 서지 확인. 선임·교육 적용 제외·별표 전체는 본문 대조 대기.
산업안전보건법 시행규칙: 서지 확인 · 2026-08-01 시행본 서지 확인. 별표 4·5의 현행 교육시간·내용과 예외는 대조 대기.","산업안전보건법: 2026-09-15
산업안전보건법 시행령: 2026-09-15
산업안전보건법 시행규칙: 2026-09-15","적용 여부·전문 검토 대기","","",""
"2026-09-15.1","검토 후보 목록입니다. 법적 의무 전체 목록이나 사업장별 적용 판정이 아닙니다. 인원 선택만으로 항목을 제외하지 않습니다.","전체 목록","REVIEW-016","교육·훈련","채용 시·작업내용 변경 시 교육","전 업종 공통 검토 후보","","인원만으로 제외하지 않음","고용형태·근로계약기간·작업 변경·교육 면제 및 대체 인정 조건 확인.","신규 배치와 변경 작업자를 빠뜨리지 않았는가?
해당 작업의 교육을 실제 실시했는가?","채용·배치변경 기록
과정·참석 증빙","법 제29조·시행규칙 별표 4·5 조사. 시간·면제 확정 전.","https://www.law.go.kr/법령/산업안전보건법
https://www.law.go.kr/법령/산업안전보건법시행규칙","https://law.go.kr/LSW/lsInfoP.do?ancYnChk=0&lsId=001766
https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=288431&efYd=20260801","산업안전보건법: 발췌 확인 · 교육·위험성평가·안전보건조치·고객응대 관련 검색 발췌 확인. 조문 전체·부칙·적용 예외 대조는 미완료.
산업안전보건법 시행규칙: 서지 확인 · 2026-08-01 시행본 서지 확인. 별표 4·5의 현행 교육시간·내용과 예외는 대조 대기.","산업안전보건법: 2026-09-15
산업안전보건법 시행규칙: 2026-09-15","적용 여부·전문 검토 대기","","",""
"2026-09-15.1","검토 후보 목록입니다. 법적 의무 전체 목록이나 사업장별 적용 판정이 아닙니다. 인원 선택만으로 항목을 제외하지 않습니다.","전체 목록","REVIEW-017","교육·훈련","유해·위험작업 특별교육","전 업종 공통 검토 후보","고소·추락 · 밀폐공간 · 기계·정비 · 차량·하역 · 화학물질 · 전기 · 화기·가스","인원만으로 제외하지 않음","실제 작업이 특별교육 대상 작업에 해당하는지 확인. 업종명·장비명만으로 확정하지 않음.","작업별 대상표와 단기·간헐 작업 등의 특례를 확인했는가?
정기·채용교육과 별도 요건 또는 대체 조건을 대조했는가?","대상 작업·작업자 목록
실시내용·시간·참석 기록","법 제29조제3항·시행규칙 별표 4·5 조사. 대상별 시간 미확정.","https://www.law.go.kr/법령/산업안전보건법
https://www.law.go.kr/법령/산업안전보건법시행규칙","https://law.go.kr/LSW/lsInfoP.do?ancYnChk=0&lsId=001766
https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=288431&efYd=20260801","산업안전보건법: 발췌 확인 · 교육·위험성평가·안전보건조치·고객응대 관련 검색 발췌 확인. 조문 전체·부칙·적용 예외 대조는 미완료.
산업안전보건법 시행규칙: 서지 확인 · 2026-08-01 시행본 서지 확인. 별표 4·5의 현행 교육시간·내용과 예외는 대조 대기.","산업안전보건법: 2026-09-15
산업안전보건법 시행규칙: 2026-09-15","적용 여부·전문 검토 대기","","",""
"2026-09-15.1","검토 후보 목록입니다. 법적 의무 전체 목록이나 사업장별 적용 판정이 아닙니다. 인원 선택만으로 항목을 제외하지 않습니다.","전체 목록","REVIEW-018","교육·훈련","관리감독자 교육","전 업종 공통 검토 후보","","인원만으로 제외하지 않음","실제 지휘·감독 역할·적용 제외·교육 방법·감면 조건 확인.","대상 관리감독자와 교육과정·주기를 확인했는가?
실제 이수와 교육 방법별 인정 범위가 확인되는가?","대상자 목록
이수·교육내용 증빙","법 제29조 및 시행규칙 교육 별표·특례 조사","https://www.law.go.kr/법령/산업안전보건법
https://www.law.go.kr/법령/산업안전보건법시행규칙","https://law.go.kr/LSW/lsInfoP.do?ancYnChk=0&lsId=001766
https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=288431&efYd=20260801","산업안전보건법: 발췌 확인 · 교육·위험성평가·안전보건조치·고객응대 관련 검색 발췌 확인. 조문 전체·부칙·적용 예외 대조는 미완료.
산업안전보건법 시행규칙: 서지 확인 · 2026-08-01 시행본 서지 확인. 별표 4·5의 현행 교육시간·내용과 예외는 대조 대기.","산업안전보건법: 2026-09-15
산업안전보건법 시행규칙: 2026-09-15","적용 여부·전문 검토 대기","","",""
"2026-09-15.1","검토 후보 목록입니다. 법적 의무 전체 목록이나 사업장별 적용 판정이 아닙니다. 인원 선택만으로 항목을 제외하지 않습니다.","전체 목록","REVIEW-019","교육·훈련","안전보건 관계자 직무교육","전 업종 공통 검토 후보","","20~49명 · 50~99명 · 100~299명 · 300~499명 · 500명 이상","관리책임자·안전/보건관리자·담당자 등 직무별 신규·보수·면제 구분.","역할별 교육 대상과 선임·변경 시점을 확인했는가?
교육기관·이수·다음 교육 기준을 대조했는가?","선임 이력
직무교육 이수자료","법 제32조 및 관련 직무교육 규정 조사","https://www.law.go.kr/법령/산업안전보건법
https://www.law.go.kr/법령/산업안전보건법시행규칙","https://law.go.kr/LSW/lsInfoP.do?ancYnChk=0&lsId=001766
https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=288431&efYd=20260801","산업안전보건법: 발췌 확인 · 교육·위험성평가·안전보건조치·고객응대 관련 검색 발췌 확인. 조문 전체·부칙·적용 예외 대조는 미완료.
산업안전보건법 시행규칙: 서지 확인 · 2026-08-01 시행본 서지 확인. 별표 4·5의 현행 교육시간·내용과 예외는 대조 대기.","산업안전보건법: 2026-09-15
산업안전보건법 시행규칙: 2026-09-15","적용 여부·전문 검토 대기","","",""
"2026-09-15.1","검토 후보 목록입니다. 법적 의무 전체 목록이나 사업장별 적용 판정이 아닙니다. 인원 선택만으로 항목을 제외하지 않습니다.","전체 목록","REVIEW-020","교육·훈련","건설업 기초안전보건교육","건설·철거·설치","도급·혼재작업","인원만으로 제외하지 않음","건설 일용근로자 해당 여부·기이수 확인·다른 교육과의 관계 조사.","투입 전 대상·이수 사실을 확인했는가?
특별교육·현장 위험 안내를 기초교육으로 모두 대체하지 않았는가?","대상·이수 확인자료
현장 위험 안내 기록","법 제31조·시행규칙 관련 교육표 조사","https://www.law.go.kr/법령/산업안전보건법
https://www.law.go.kr/법령/산업안전보건법시행규칙","https://law.go.kr/LSW/lsInfoP.do?ancYnChk=0&lsId=001766
https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=288431&efYd=20260801","산업안전보건법: 발췌 확인 · 교육·위험성평가·안전보건조치·고객응대 관련 검색 발췌 확인. 조문 전체·부칙·적용 예외 대조는 미완료.
산업안전보건법 시행규칙: 서지 확인 · 2026-08-01 시행본 서지 확인. 별표 4·5의 현행 교육시간·내용과 예외는 대조 대기.","산업안전보건법: 2026-09-15
산업안전보건법 시행규칙: 2026-09-15","적용 여부·전문 검토 대기","","",""
"2026-09-15.1","검토 후보 목록입니다. 법적 의무 전체 목록이나 사업장별 적용 판정이 아닙니다. 인원 선택만으로 항목을 제외하지 않습니다.","전체 목록","REVIEW-021","교육·훈련","물질안전보건자료(MSDS) 교육","전 업종 공통 검토 후보","화학물질","인원만으로 제외하지 않음","대상 물질·취급자·신규 물질·작업 변경 등 교육 사유 확인.","현장 물질과 최신 자료를 연결했는가?
노출·보호·응급 대응에 필요한 내용을 실제 교육했는가?","물질·자료 목록
교육 실시 기록","MSDS 교육 조항·교육내용 원문 매핑 대기","https://www.law.go.kr/법령/산업안전보건법
https://www.law.go.kr/법령/산업안전보건법시행규칙","https://law.go.kr/LSW/lsInfoP.do?ancYnChk=0&lsId=001766
https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=288431&efYd=20260801","산업안전보건법: 발췌 확인 · 교육·위험성평가·안전보건조치·고객응대 관련 검색 발췌 확인. 조문 전체·부칙·적용 예외 대조는 미완료.
산업안전보건법 시행규칙: 서지 확인 · 2026-08-01 시행본 서지 확인. 별표 4·5의 현행 교육시간·내용과 예외는 대조 대기.","산업안전보건법: 2026-09-15
산업안전보건법 시행규칙: 2026-09-15","적용 여부·전문 검토 대기","","",""
